episode,rewards_total
140,71597.2968334
141,71597.3546387
142,71597.4325502
143,71597.3546387
144,71597.3295059
145,71597.3483555
146,71597.3772581
147,71597.4011342
148,71597.3634351
149,71597.2804971
150,71597.3998776
151,71597.3558953
152,71597.3169396
153,71597.2817537
154,71597.3081431
155,71597.3998776
156,71597.3558953
157,71597.4162139
158,71597.3031165
159,71597.3634351
160,71597.3169396
161,71597.3998776
162,71597.3320192
163,71597.353382
164,71597.4061608
165,71597.3219661
166,71597.2767272
167,71597.3948511
168,71597.3408157
169,71597.4312935
170,71597.2993466
171,71597.3961077
172,71597.3357891
173,71597.2729573
174,71597.384798
175,71597.4287803
176,71597.3760015
177,71597.2792404
178,71597.3458422
179,71597.4061608
180,71597.3307626
181,71597.398621
182,71597.381028
183,71597.3596652
184,71597.4023909
185,71597.2729573
186,71597.4363201
187,71597.3571519
188,71597.3697183
189,71597.3898245
190,71597.4300369
191,71597.3006033
192,71597.4363201
193,71597.426267
194,71597.3106564
195,71597.4363201
196,71597.2729573
197,71597.4350634
198,71597.3370457
199,71597.2905502
200,71597.4363201
201,71597.2804971
202,71597.3822847
203,71597.3546387
204,71597.3885679
205,71597.3232227
206,71597.3496121
207,71597.3018599
208,71597.3873112
209,71597.3634351
210,71597.2804971
211,71597.3546387
212,71597.3420723
213,71597.3144263
214,71597.4049041
215,71597.3546387
216,71597.4325502
217,71597.3659484
218,71597.381028
219,71597.4137006
220,71597.3546387
221,71597.2955767
222,71597.3546387
223,71597.3558953
224,71597.3546387
225,71597.3483555
226,71597.3508688
227,71597.3961077
228,71597.3546387
229,71597.3508688
230,71597.339559
231,71597.3659484
232,71597.3659484
233,71597.4350634
234,71597.2918068
235,71597.3596652
236,71597.4363201
237,71597.3383024
238,71597.2804971
239,71597.3609218
240,71597.3546387
241,71597.2729573
242,71597.3244794
243,71597.3609218
244,71597.3169396
245,71597.3873112
246,71597.3181962
247,71597.4287803
248,71597.2943201
249,74896.8789014
250,84796.5736969
251,81496.8752237
252,81496.5935244
253,83796.4802089
254,82796.2515736
255,81496.6763177
256,81496.6133553
257,80496.4916528
258,83796.5130012
259,82796.1755301
260,81496.591905
261,83796.3772126
262,79496.6097819
263,83796.4337537
264,83796.4887137
265,80496.6571571
266,86096.2546613
267,77196.6465485
268,77196.9083756
269,82796.1250785
270,76196.506439
271,77196.6557133
272,79496.4339634
273,79496.9216504
274,77196.6480675
275,84796.4725978
276,84796.439227
277,79496.6035255
278,80496.7159933
279,81496.6477646
280,83796.5033811
281,81496.756319
282,81496.766251
283,81496.6996094
284,80496.5735762
285,82796.5016457
286,81496.6789455
287,82796.3729289
288,79496.4765884
289,87096.4694502
290,78196.8030239
291,80496.6409539
292,81496.8461695
293,80496.635197
294,90396.4089959
295,83796.2961645
296,83796.3174711
297,83796.3380642
298,82796.1207737
299,80496.4631189
300,79496.1673261
301,83796.3087294
302,77196.7248724
303,81496.6862404
304,82796.2204762
305,81496.7786143
306,83796.4126559
307,83796.2987077
308,78196.8971324
309,82796.4491747
310,82796.4546992
311,83796.5371717
312,66297.3166728
313,114538.058709
314,82796.5434952
315,82796.5464138
316,83796.6501298
317,82796.0040425
318,76196.545535
319,84796.6448997
320,81496.5189986
321,83796.4620899
322,81496.9154386
323,78196.8791048
324,89396.229006
325,80496.4598516
326,82796.1739658
327,76196.7505488
328,91696.3142938
329,78196.7417365
330,80496.6603252
331,72896.840922
332,91694.7038729
333,78795.9732826
334,76196.6222517
335,83795.8933093
336,72896.9047152
337,76196.5858986
338,71597.2747105
339,78196.6997328
340,70597.1051036
341,77196.6300674
342,71597.4197752
343,76196.4952803
344,76196.6072955
345,71597.4212404
346,72896.8298169
347,79496.6984474
348,76196.5660098
349,76196.5636426
350,78496.278092
351,79496.4080795
352,80496.6187242
353,78196.7472873
354,81496.8623614
355,84796.7735444
356,80496.6364999
357,80496.5871939
358,87096.5404448
359,82796.5438862
360,82796.5234891
361,82796.5299585
362,82796.4470939
363,82796.5062388
364,82796.4735187
365,82796.5437361
366,82796.5441625
367,82796.4911633
368,82796.5438736
369,82796.4508128
370,82796.5062095
371,116138.381601
372,118144.9434
373,116656.744068
374,83796.7174784
375,84796.5116862
376,83796.5095794
377,80496.63554
378,81496.8349301
379,82796.2970663
380,82796.3806762
381,81496.7383428
382,80796.3331623
383,78496.6664444
384,88395.8920975
385,87096.5957439
386,87096.5999141
387,80796.3941242
388,83796.4236194
389,81796.4109077
390,77196.870276
391,85096.210402
392,81796.4870885
393,83796.6942347
394,74896.8248206
395,78496.3687734
396,73896.9219426
397,76196.5741763
398,81796.3873739
399,74897.0251666
400,82796.5143414
401,85096.3040191
402,85096.309417
403,84796.8319468
404,85096.3046078
405,85096.3037556
406,85096.3035912
407,88096.5319629
408,88096.5384316
409,78496.7261654
410,90396.4027026
411,74896.7513158
412,88396.0792011
413,89396.1925996
414,90396.4338061
415,71597.1006485
416,80796.4475882
417,78496.481951
418,85096.1473697
419,89396.2045321
420,89396.1907655
421,76196.6680224
422,87096.5484057
423,78496.4633457
424,79496.7531227
425,83796.7237291
426,83796.742504
427,79496.6249785
428,78496.6312481
429,80496.6516553
430,80496.6049788
431,80496.8965064
432,78196.7696134
433,74897.0735951
434,86096.4127703
435,80496.7207167
436,90396.5801371
437,77196.962105
438,74196.4294368
439,80497.0064705
440,81796.7330928
441,83096.2170705
442,87396.186496
443,84096.304943
444,81796.7055954
445,81796.7054728
446,81796.7291962
447,83096.4557868
448,88396.3515919
449,87396.2057251
450,88396.3518152
451,86396.4896918
452,80496.7206504
453,80496.8532911
454,80496.8582119
455,80496.8605647
456,81496.9251471
457,80496.8355055
458,83796.4605612
459,88396.3581473
460,88396.3556332
461,86396.1286497
462,83096.4820727
463,87396.1997607
464,86396.1472109
465,85096.4491624
466,85096.4494145
467,84096.5361049
468,84396.3346002
469,86396.4316219
470,78496.6065383
471,87096.592907
472,87096.5930988
473,82796.405464
474,82796.4052285
475,82796.3708805
476,82796.4052411
477,82796.4051815
478,82796.370287
479,81496.9525712
480,82796.4157262
481,82796.4712528
482,80496.9248177
483,90696.4594603
484,93995.8233964
485,95996.1620285
486,94996.1591672
487,94996.1535062
488,94996.1598986
489,95996.1620179
490,95996.1618183
491,81796.6240385
492,92696.4059685
493,95996.2745527
494,104595.99845
495,91696.3193981
496,94996.44983
497,91696.2976338
498,108195.508132
499,101596.062757
500,95996.1623623
501,95996.1653838
502,93696.5297711
503,62297.1504342
504,86096.4007637
505,76496.4509379
506,168122.428261
507,96893.9258837
508,162109.837619
509,162109.833939
510,162109.755025
511,162109.757878
512,162109.746149
513,162109.767489
514,162109.75091
515,162109.778088
516,162109.812647
517,162109.71956
518,162109.813944
519,162109.76052
520,162124.605493
521,85696.7018523
522,77796.8872604
523,105896.604565
524,71795.8770624
525,71795.9028937
526,67896.835179
527,71896.979988
528,103896.098853
529,91696.4484969
530,104895.875491
531,91996.2905236
532,81096.576703
533,82796.4610567
534,80496.7368551
535,67196.5160477
536,70095.46216
537,65495.8020717
538,72496.1738767
539,72496.137712
540,68896.7652616
541,72196.6317939
542,66896.4725547
543,72496.1613367
544,65596.9180094
545,64896.4056026
546,70496.0754429
547,70496.0757635
548,67196.0345056
549,72496.1847577
550,72496.1823174
551,68896.8082641
552,73496.3154784
553,64196.1467815
554,75196.8520724
555,75496.2371766
556,66196.4090585
557,64896.6954582
558,66496.1038516
559,62196.1213825
560,75496.239258
561,77496.3589515
562,66495.8297107
563,63896.6565837
564,64196.4602376
565,68496.1887977
566,67496.3410059
567,64196.4109394
568,64495.8125779
569,64196.4561348
570,64596.8843783
571,60896.1690646
572,68196.2270347
573,70196.5660762
574,73496.3338851
575,107796.584294
576,69196.5228112
577,70496.2019598
578,60596.7478119
579,66896.6224553
580,65896.8289001
581,65896.7991163
582,66196.2845316
583,66196.28558
584,66196.284677
585,65196.2106578
586,66196.2792216
587,66196.2854528
588,67196.5364991
589,64495.8209113
590,65495.9630236
591,64495.8212349
592,64495.8276703
593,65196.5298393
594,64495.923466
595,64196.4777011
596,65495.8129854
597,64495.8492326
598,66896.6044596
599,65297.0095581
600,65297.1802002
601,66596.6601148
602,65596.5756642
603,73095.4593517
604,66597.0090367
605,65896.6007671
606,114094.559374
607,114295.349869
608,115995.685634
609,105496.336092
610,107495.124258
611,111396.126908
612,79396.2202787
613,79396.34838
614,98496.1489846
615,90195.335385
616,96195.7450836
617,105795.844309
618,92595.8432597
619,165116.82137
620,77893.5242076
621,92696.3194582
622,100596.414082
623,73095.5213347
624,64496.0684161
625,64495.9529104
626,63196.5360512
627,75095.8571298
628,65196.1291907
629,75095.5926994
630,71496.2609752
631,62896.3537444
632,66597.1275958
633,93895.4586717
634,81295.9373881
635,165116.76665
636,164116.753019
637,147096.254946
638,119696.166007
639,86096.218512
640,82894.7475317
641,79796.2335467
642,71095.9663909
643,66196.7143029
644,70095.9576316
645,72795.8593638
646,78496.6129785
647,63596.650511
648,86296.0852883
649,69796.2684176
650,79696.1615498
651,76695.5649096
652,73096.3411937
653,70095.8971974
654,73897.0591466
655,73196.7641068
656,82696.0511163
657,77895.2711608
658,120295.308752
659,82096.4807663
660,74096.2038349
661,67496.1840777
662,88296.46216
663,61596.5284587
664,78696.0614768
665,80995.7034543
666,67896.7956784
667,70795.9875874
668,63596.7770869
669,72096.0514475
670,80294.971658
671,72496.4984427
672,72796.4221318
673,75796.4413926
674,81096.2810172
675,82796.0781827
676,74496.3308598
677,81796.3472365
678,84096.0076263
679,81496.7570612
680,79496.6030794
681,80496.7255795
682,79496.4906881
683,77196.7675883
684,80496.9244609
685,76196.7084362
686,81796.3376647
687,78496.6451306
688,76496.5338161
689,86396.2553217
690,71597.2348106
691,75196.5426446
692,75196.5729323
693,76196.6350204
694,70896.6697336
695,82796.2161718
696,76196.6403039
697,76196.4582695
698,77196.6551733
699,82395.6967627
700,78796.5580716
701,82096.0624715
702,81796.4774389
703,91396.6660843
704,82796.6031388
705,89396.4716504
706,84096.5095755
707,86096.4703349
708,75197.1523733
709,79496.9371688
710,87096.5509713
711,87396.2496114
712,79796.3610872
713,83796.5966832
714,93996.0312783
715,81796.5912999
716,91695.6744745
717,73897.1451905
718,88396.5691804
719,79796.320188
720,76496.4179378
721,83096.4817949
722,90696.8369594
723,65297.1508598
724,80796.8137302
725,94996.5301492
726,76196.9061152
727,80796.4440873
728,71896.7074238
729,90396.5405673
730,93696.3031195
731,76196.9541617
732,72897.1566212
733,82796.1505249
734,69896.4532608
735,80796.3611267
736,80796.345492
737,82796.3027015
738,81496.894673
739,78196.9243521
740,81796.423315
741,78496.7700732
742,81396.0130978
743,88396.3343796
744,87396.5937255
745,82396.1219093
746,90996.1923768
747,81096.4380567
748,74896.9994506
749,77196.6994139
750,77196.711502
751,74196.9800182
752,82096.0710739
753,87096.4371291
754,77196.9110387
755,93696.406736
756,85096.1210539
757,87096.3864306
758,77196.834276
759,82096.004981
760,65596.6655547
761,74196.5855583
762,70196.3305174
763,69196.3685788
764,69196.3399184
765,69196.3404225
766,63997.4201977
767,69196.3374939
768,87970.6395855
769,60697.5806538
770,74496.4640638
771,75796.1362339
772,81396.0764483
773,170183.125097
774,164116.757985
775,164116.753353
776,164116.751655
777,164116.752998
778,164116.752196
779,164116.753449
780,164117.044959
781,164116.752758
782,164116.752646
783,164116.746546
784,76695.2899279
785,164116.605613
786,164116.755789
787,164116.744956
788,164116.751972
789,164116.750469
790,164116.750407
791,164116.751951
792,164116.755328
793,164116.752001
794,164116.759801
795,164116.75707
796,164116.679796
797,102130.887458
798,71994.6340187
799,62997.4825651
800,80295.2498154
801,161115.822956
802,164116.757765
803,164116.755763
804,164116.758569
805,164116.727995
806,124141.846514
807,75196.5374449
808,70896.8358363
809,79496.5295298
810,78496.4789793
811,69896.4594204
812,78395.7396744
813,77196.7431946
814,79496.3612452
815,69596.9270428
816,79496.4786668
817,81796.4514005
818,82796.3574439
819,78196.9116172
820,78496.4161534
821,79496.5905424
822,86096.0724514
823,82796.6137442
824,84796.7694502
825,82796.4182939
826,77196.7237515
827,81496.9599047
828,77196.699777
829,97296.6104625
830,77196.9974701
831,100789.72728
832,82796.1489032
833,78197.0352651
834,84796.8679453
835,73897.0196289
836,83096.1969071
837,82796.6291419
838,80496.5369561
839,88395.964149
840,86096.3036164
841,78196.8865444
842,74897.1777553
843,81796.3181215
844,80496.5156734
845,70597.0374691
846,71896.8645845
847,70896.9516754
848,69196.3448216
849,69196.3434627
850,69196.3504311
851,69196.3530183
852,97191.947914
853,69196.437381
854,180178.685208
855,87295.9620332
856,79396.1235863
857,84096.3299416
858,67896.4815218
859,65297.0369867
860,134895.730526
861,81796.398237
862,84096.5924023
863,77496.4214142
864,81496.7826011
865,88096.7509635
866,73896.8603448
867,85096.3544115
868,83796.8132614
869,92695.9548709
870,74496.1499933
871,89396.7246482
872,76196.6761334
873,89396.3223191
874,81496.8965064
875,80496.7332186
876,81796.5209742
877,88396.4555536
878,79496.8074473
879,89396.3361563
880,89396.2884332
881,75196.6999795
882,74896.8601323
883,79496.6408996
884,78496.4793622
885,81796.3583666
886,78496.2756767
887,79496.7531607
888,81796.3743722
889,82796.27171
890,68896.9435269
891,69196.3383787
892,69196.3381652
893,69196.3387535
894,69196.3382913
895,146176.246572
896,82796.3495214
897,69196.3828942
898,68896.9291179
899,73196.6176696
900,73897.0605726
901,85096.1071426
902,99296.1030038
903,83096.499171
904,79796.3373727
905,83096.4953174
906,80496.7652908
907,79496.7933942
908,81796.4431655
909,79496.7473192
910,116578.62506
911,102493.300138
912,71795.992626
913,73095.7797629
914,70496.0945388
915,69196.3438918
916,69196.3439244
917,69196.3434481
918,73095.5676356
919,72796.1904266
920,76695.2068814
921,70496.1193911
922,69597.2592564
923,61697.6438388
924,66297.3942605
925,70196.4449748
926,65296.9884781
927,63997.5752047
928,70496.1396848
929,71196.7993515
930,68597.1937113
931,67597.0042055
932,62997.177081
933,61697.6580295
934,250193.722309
935,70496.2860161
936,76994.7552164
937,93093.8378354
938,66297.2436303
939,81894.3128737
940,95088.0302007
941,88991.4828235
942,86092.7502511
943,70196.7370854
944,66297.2938324
945,63997.4797018
946,80995.7157332
947,69196.3813562
948,69196.3493358
949,69196.5736568
950,70496.161226
951,69196.4090584
952,69196.4072972
953,69196.3728636
954,70496.3175263
955,69196.4104119
956,69196.3514895
957,69196.3432249
958,58397.645158
959,63297.1629044
960,62997.3832067
961,61997.1062961
962,58397.6282386
963,124163.794091
964,74095.8525529
965,69196.5302404
966,70496.0233891
967,70496.0937211
968,69196.4180271
969,69196.5459463
970,70496.0344022
971,69196.3547102
972,69196.3393804
973,69196.345672
974,69196.3870375
975,69196.3619657
976,69196.4102775
977,68896.9479259
978,68896.9243759
979,69196.3450795
980,69196.3483031
981,69196.3375148
982,68896.9219764
983,70196.5865043
984,69196.3442281
985,69196.339557
986,69196.3557802
987,69196.3389333
988,69196.3385304
989,69196.3403371
990,69196.342369
991,68896.9333002
992,69196.341922
993,69196.3396921
994,69196.338324
995,69196.3386789
996,69196.3379361
997,69196.3407215
998,68896.9354122
999,70896.8485962
1000,70896.8450467
