time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.77973788372e-08,4.24647813097e-08,10.0057826173,6.2827753066,6.28310809498,0.0,6.24123426258e-06,-1.56727812696e-05,0.192740352528,-0.0262367047159,-0.00399374930241,0.0,465.72332410665206,465.4109318286428,466.25213575050674,464.19827115209364
0.12000000000000001,3.69389277466e-06,-1.91718203609e-05,10.0256184039,6.28108952233,6.28269785323,0.0,0.000155639644031,-0.000833062661874,0.468379931404,-0.0321018787479,-0.0132367523108,0.0,489.22226445588,488.5337862776459,490.41009929318716,489.9741914121737
0.18,2.45315776002e-05,-0.000115932927807,10.0551255603,6.27912098966,6.28242488341,0.0,0.000585360853131,-0.00257552070257,0.515171113124,-0.0342614464344,0.00878442355917,0.0,419.2965522250429,421.2050801034959,419.6821718495011,419.4942319466421
0.23999999999999996,7.63485931319e-05,-0.000382823107417,10.0939695336,6.27786666155,6.28316849158,0.0,0.00106046336551,-0.00651870413671,0.779484474729,-0.00256702651016,0.0187790591763,0.0,485.90073081465124,486.6491850300797,485.6701130733376,488.04106125175485
0.3,0.000136057430387,-0.000884932695236,10.1438228665,6.27741550365,0.00078816455764,0.0,0.00082780256726,-0.0102463000564,0.882218987955,-0.0199388845817,-0.000362047467737,0.0,438.61660191194085,437.0241819700049,439.7101646399657,438.2689570805697
0.36000000000000004,0.000170564491992,-0.0016136516719,10.19835852,6.27725114367,0.00034218464103,0.0,0.000338699152468,-0.0140967667231,0.935593328447,0.0190150663603,-0.0278897683278,0.0,423.34343400897603,420.96848882605457,421.47572014187375,424.8286270509315
0.4200000000000001,0.000188628556462,-0.00258038299687,10.2579702313,6.27842700658,6.28287333389,0.0,0.000371942965195,-0.0180061714187,1.05136468742,0.0207381753567,0.0106761471078,0.0,441.48759591862853,444.65784132834415,442.40779142991914,442.5495929639349
0.48000000000000015,0.000214951498704,-0.00376931865032,10.3274625675,6.28000290787,0.000792700892714,0.0,0.00039787281118,-0.0214544225264,1.26483565101,0.0355011904251,0.0305794661884,0.0,472.3182282865613,473.8505055419333,471.6355686608252,472.77437646364433
0.5400000000000001,0.000215585105927,-0.00511348546849,10.4062787182,6.2825616856,0.0025096786055,0.0,-0.000557413768335,-0.023109716178,1.36225846294,0.0540621326312,0.0243692364121,0.0,437.6701760931619,437.1532957031663,437.18372387019144,438.7283514964804
0.6000000000000002,0.000121089077966,-0.00650064243357,10.4923288967,0.00227322125012,0.00391678411514,0.0,-0.00274762268721,-0.0227919053388,1.50590203706,0.0330395285771,0.0215508240777,0.0,452.3858865990325,452.15895372544867,453.30024619102574,451.6092176151523
0.6600000000000003,-0.000125180011995,-0.00781646826856,10.584593377,0.00383537093555,0.00530703962003,0.0,-0.00559078301594,-0.0208920431914,1.56949426483,0.00588671188636,0.0262284320982,0.0,428.0635580249099,428.46145783369366,427.8164177382661,425.4985427306018
0.7200000000000003,-0.000566378878197,-0.00899642413363,10.6798333273,0.00467799316674,0.00760863670502,0.0,-0.00930134272864,-0.0183813665537,1.60511989933,0.026735175659,0.0554853834883,0.0,417.07015258112165,419.61820556548633,417.66976588197934,419.4838973471983
0.7800000000000004,-0.00130681048682,-0.00998917944059,10.7806139657,0.00586572527787,0.0112182171537,0.0,-0.0157583400272,-0.0145525498747,1.75401401152,-7.0428023576e-05,0.068164814971,0.0,453.65804496016364,454.677364739721,456.219847079732,454.0746724611529
0.8400000000000004,-0.00253377760022,-0.0107225538996,10.8917016869,0.00696808756626,0.0152788562196,0.0,-0.0256095184134,-0.00981506521318,1.94859255177,0.0411197068703,0.0666845648443,0.0,469.0830418666401,468.971262994257,467.15258904895273,470.35323812619504
0.9000000000000005,-0.00442510396894,-0.0111467575378,11.013097946,0.00973691500426,0.0188549224771,0.0,-0.0378513390798,-0.00403938634567,2.09767847794,0.0546692235977,0.0391018073475,0.0,456.3555065782489,454.15087740002775,455.9517848833138,457.0341011137676
0.9600000000000005,-0.00720098636699,-0.0111183867781,11.1474655953,0.0131147294636,0.0212209918502,0.0,-0.0549716287405,0.00540918384382,2.38068745293,0.0593671030204,0.0400915257742,0.0,495.4900775388291,495.5634358992392,495.5533799842839,495.9003622196438
1.0200000000000005,-0.0108940214555,-0.01054238501,11.2908628563,0.0172034378465,0.0236328488752,0.0,-0.068345348738,0.014137980487,2.39917211765,0.0815814092845,0.0404089032298,0.0,416.1180791077628,416.14681263172616,414.8355025520943,416.7852365509902
1.0800000000000005,-0.0154986001208,-0.00931530978143,11.4380728674,0.0220722194573,0.025735762375,0.0,-0.0853719242877,0.0272641390906,2.50758046232,0.0802623169882,0.02128185281,0.0,446.30520172170617,444.7418866741676,444.9002590609523,444.79756099716167
1.1400000000000006,-0.0211986359371,-0.00716826521637,11.593103118,0.0273444707371,0.0269718284661,0.0,-0.104758383891,0.0448528421546,2.65973484405,0.0998739231008,0.0192037335772,0.0,459.51255790244807,459.34776317921734,458.18198704823726,459.74447062507863
1.2000000000000006,-0.0280141680166,-0.00392288590663,11.7545036762,0.033291628795,0.0283518138797,0.0,-0.122544924493,0.063896168659,2.7201196927,0.0975669244732,0.0296769552009,0.0,430.63847759932474,431.52352991598843,431.4709886642162,431.284955916286
1.2600000000000007,-0.0359899553452,0.000657253733645,11.9217588786,0.0390964414838,0.0299311573023,0.0,-0.143486560734,0.0893880026289,2.85469714426,0.0950555124007,0.0185899221414,0.0,455.75085010211734,454.86396863060446,454.68494973746795,454.4914752244308
